Month,Registered Users,Concurrent Peak,Daily Active,API Requests/Month,Messages/Month,Tier,Backend Instances,DB CPU,DB Memory (GB),Redis Nodes,Celery Workers,Monthly Cost (USD),Storage (GB)
1,11000,1650,2200,35640000,6682500,tier_10k,6,8,32,3,8,3500.00,52
2,12100,1815,2420,39204000,7350750,tier_10k,6,8,32,3,8,3500.00,55
3,13310,1996,2662,43113600,8083800,tier_10k,6,8,32,3,8,3500.00,59
4,14641,2196,2928,47433600,8893800,tier_10k,6,8,32,3,8,3500.00,63
5,16105,2415,3221,52164000,9780750,tier_10k,6,8,32,3,8,3500.00,69
6,17715,2657,3543,57391200,10760850,tier_10k,6,8,32,3,8,3500.00,75
7,19132,2869,3826,61970400,11619450,tier_10k,6,8,32,3,8,3500.00,81
8,20662,3099,4132,66938400,12550950,tier_10k,6,8,32,3,8,3500.00,89
9,22314,3347,4462,72295200,13555350,tier_10k,6,8,32,3,8,3500.00,97
10,24099,3614,4819,78062400,14636700,tier_10k,6,8,32,3,8,3500.00,107
11,26026,3903,5205,84304800,15807150,tier_10k,6,8,32,3,8,3500.00,118
12,28108,4216,5621,91065600,17074800,tier_10k,6,8,32,3,8,3500.00,130
13,29513,4426,5902,95601600,17925300,tier_10k,6,8,32,3,8,3500.00,141
14,30988,4648,6197,100396800,18824400,tier_10k,6,8,32,3,8,3500.00,153
15,32537,4880,6507,105408000,19764000,tier_10k,6,8,32,3,8,3500.00,166
16,34163,5124,6832,110678400,20752200,tier_10k,6,8,32,3,8,3500.00,180
17,35871,5380,7174,116208000,21789000,tier_10k,6,8,32,3,8,3500.00,195
18,37664,5649,7532,122018400,22878450,tier_10k,6,8,32,3,8,3500.00,211
19,39547,5932,7909,128131200,24024600,tier_10k,6,8,32,3,8,3500.00,229
20,41524,6228,8304,134524800,25223400,tier_10k,6,8,32,3,8,3500.00,248
21,43600,6540,8720,141264000,26487000,tier_10k,6,8,32,3,8,3500.00,268
22,45780,6867,9156,148327200,27811350,tier_10k,6,8,32,3,8,3500.00,290
23,48069,7210,9613,155736000,29200500,tier_10k,6,8,32,3,8,3500.00,313
24,50472,7570,10094,163512000,30658500,tier_10k,6,8,32,3,8,3500.00,338
